Serwer,Polaczenia,RPS,p50,p99,Timeouts
Sync,100,37.23,2.52s,2.53s,0
Async,100,939.81,104.60ms,129.44ms,0
Sync,200,39.42,5.52s,5.53s,0
Async,200,1785.99,106.57ms,158.08ms,0
Sync,400,39.34,9.53s,10.13s,0
Async,400,2450.41,159.97ms,248.57ms,0
Sync,600,39.27,12.65s,15.20s,0
Async,600,2461.32,240.04ms,359.68ms,0
Sync,800,39.21,19.64s,20.26s,0
Async,800,2473.33,316.36ms,475.68ms,0
Sync,1000,39.23,25.00s,25.32s,0
Async,1000,2439.46,403.74ms,648.61ms,0
Sync,1500,39.15,15.37s,29.69s,1151
Async,1500,2528.69,639.62ms,960.47ms,0
Sync,2000,39.18,15.57s,29.65s,1124
Async,2000,2255.11,655.49ms,1.75s,0
Sync,2500,39.09,18.27s,29.85s,915
Async,2500,1439.77,605.85ms,13.17s,0
Sync,3000,38.90,21.05s,29.96s,692
Async,3000,1443.01,1.06s,6.42s,0
Sync,4000,38.89,15.19s,29.73s,1024
Async,4000,1257.12,642.58ms,11.83s,0
Sync,5000,36.15,18.09s,29.54s,269
Async,5000,1223.90,929.58ms,9.43s,0
